,Release Group,Worldwide,Domestic,%,Foreign,%.1,Year
2760,Case 39,"$28,190,603","$13,261,851",47%,"$14,928,752",53%,2009
2761,Recep Ivedik 2,"$27,699,692",-,-,"$27,699,692",100%,2009
2762,The Road,"$27,639,579","$8,117,000",29.4%,"$19,522,579",70.6%,2009
2763,Sorority Row,"$27,206,120","$11,965,282",44%,"$15,240,838",56%,2009
2764,Observe and Report,"$26,973,554","$24,007,324",89%,"$2,966,230",11%,2009
2765,An Education,"$26,096,852","$12,574,914",48.2%,"$13,521,938",51.8%,2009
2766,Coco,"$25,593,707",-,-,"$25,593,707",100%,2009
2767,Doraemon the Movie: The New Records of Nobita's Spaceblazer,"$25,422,212",-,-,"$25,422,212",100%,2009
2768,Mt. Tsurugidake,"$25,134,437",-,-,"$25,134,437",100%,2009
2769,A Single Man,"$24,964,890","$9,176,000",36.8%,"$15,788,890",63.2%,2009
2770,Kaiji: Jinsei gyakuten gêmu,"$24,709,016",-,-,"$24,709,016",100%,2009
2771,If I Were You 2,"$24,415,116",-,-,"$24,415,116",100%,2009
2772,I Give My First Love to You,"$24,051,386",-,-,"$24,051,386",100%,2009
2773,Mao's Last Dancer,"$23,914,731","$4,817,770",20.1%,"$19,096,961",79.9%,2009
2774,Dark Planet,"$23,772,559",-,-,"$23,772,559",100%,2009
2775,Jonas Brothers: The 3D Concert Experience,"$23,186,960","$19,162,740",82.6%,"$4,024,220",17.4%,2009
2776,Imagine That,"$22,985,194","$16,123,323",70.1%,"$6,861,871",29.9%,2009
2777,Armored,"$22,942,221","$15,988,876",69.7%,"$6,953,345",30.3%,2009
2778,A Perfect Getaway,"$22,938,329","$15,515,460",67.6%,"$7,422,869",32.4%,2009
2779,Dorian Gray,"$22,873,653",-,-,"$22,873,653",100%,2009
2780,Men in the City,"$22,420,615",-,-,"$22,420,615",100%,2009
2781,Neuilly Yo Mama!,"$22,243,482",-,-,"$22,243,482",100%,2009
2782,OSS 117: Lost in Rio,"$21,924,245","$89,375",0.4%,"$21,834,870",99.6%,2009
2783,The Rebound,"$21,791,288",-,-,"$21,791,288",100%,2009
2784,My Girlfriend Is an Agent,"$21,056,256",-,-,"$21,056,256",100%,2009
2785,Black Lightning,"$20,984,902",-,-,"$20,984,902",100%,2009
2786,Love Aaj Kal,"$20,794,985","$2,430,083",11.7%,"$18,364,902",88.3%,2009
2787,I Love You Phillip Morris,"$20,768,906","$2,037,459",9.8%,"$18,731,447",90.2%,2009
2788,Pandemic,"$20,712,567",-,-,"$20,712,567",100%,2009
2789,Pandorum,"$20,648,328","$10,330,853",50%,"$10,317,475",50%,2009
2790,My Life in Ruins,"$20,455,482","$8,665,206",42.4%,"$11,790,276",57.6%,2009
2791,Cado dalle nubi,"$20,123,466",-,-,"$20,123,466",100%,2009
2792,Solomon Kane,"$19,652,185",-,-,"$19,652,185",100%,2009
2793,Amelia,"$19,643,086","$14,246,488",72.5%,"$5,396,598",27.5%,2009
2794,Drop,"$19,611,028",-,-,"$19,611,028",100%,2009
2795,High Security Vacation,"$19,487,557",-,-,"$19,487,557",100%,2009
2796,Kamen Rider Decade: All Riders vs. Dai-Shocker,"$19,418,091",-,-,"$19,418,091",100%,2009
2797,Ballad,"$19,328,678",-,-,"$19,328,678",100%,2009
2798,The White Ribbon,"$19,319,671","$2,222,862",11.5%,"$17,096,809",88.5%,2009
2799,Celda 211,"$19,300,483",-,-,"$19,300,483",100%,2009
2800,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1%,2010
2801,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.6%,"$691,276,000",67.4%,2010
2802,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.3%,"$680,553,613",69.7%,2010
2803,Inception,"$826,137,188","$292,576,195",35.4%,"$533,560,993",64.6%,2010
2804,Shrek Forever After,"$752,600,867","$238,736,787",31.7%,"$513,864,080",68.3%,2010
2805,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%,2010
2806,Iron Man 2,"$623,933,331","$312,433,331",50.1%,"$311,500,000",49.9%,2010
2807,Tangled,"$592,461,732","$200,821,936",33.9%,"$391,639,796",66.1%,2010
2808,Despicable Me,"$543,113,985","$251,513,985",46.3%,"$291,600,000",53.7%,2010
2809,How to Train Your Dragon,"$494,878,759","$217,581,231",44%,"$277,297,528",56%,2010
2810,Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%,2010
2811,The King's Speech,"$423,999,102","$135,453,143",31.9%,"$288,545,959",68.1%,2010
2812,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%,2010
2813,TRON: Legacy,"$400,062,763","$172,062,763",43%,"$228,000,000",57%,2010
2814,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%,2010
2815,Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%,2010
2816,Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%,2010
2817,Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%,2010
2818,The Last Airbender,"$319,713,881","$131,772,187",41.2%,"$187,941,694",58.8%,2010
2819,Little Fockers,"$310,650,585","$148,438,600",47.8%,"$162,211,985",52.2%,2010
2820,Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%,2010
2821,Shutter Island,"$294,804,195","$128,012,934",43.4%,"$166,791,261",56.6%,2010
2822,Salt,"$293,503,354","$118,311,368",40.3%,"$175,191,986",59.7%,2010
2823,Sex and the City 2,"$290,745,055","$95,347,692",32.8%,"$195,397,363",67.2%,2010
2824,The Tourist,"$278,780,441","$67,631,157",24.3%,"$211,149,284",75.7%,2010
2825,The Expendables,"$274,470,394","$103,068,524",37.6%,"$171,401,870",62.4%,2010
2826,Grown Ups,"$271,430,189","$162,001,186",59.7%,"$109,429,003",40.3%,2010
2827,Knight and Day 2010 Re-release,"$261,930,436","$76,423,035",29.2%,"$185,507,401",70.8%,2010
2828,True Grit,"$252,276,927","$171,243,005",67.9%,"$81,033,922",32.1%,2010
2829,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%,2010
2830,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.2%,"$137,728,906",60.8%,2010
2831,The Social Network,"$224,920,315","$96,962,694",43.1%,"$127,957,621",56.9%,2010
2832,Valentine's Day,"$216,485,654","$110,485,654",51%,"$106,000,000",49%,2010
2833,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%,2010
2834,Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%,2010
2835,Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%,2010
2836,Yogi Bear,"$203,509,374","$100,246,011",49.3%,"$103,263,363",50.7%,2010
2837,RED,"$199,006,387","$90,380,162",45.4%,"$108,626,225",54.6%,2010
2838,Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%,2010
2839,The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%,2010
2840,Jackass 3D,"$171,685,792","$117,229,692",68.3%,"$54,456,100",31.7%,2010
2841,The Other Guys,"$170,458,922","$119,219,978",69.9%,"$51,238,944",30.1%,2010
2842,Unstoppable,"$167,805,466","$81,562,942",48.6%,"$86,242,524",51.4%,2010
2843,Step Up,"$159,291,809","$42,400,223",26.6%,"$116,891,586",73.4%,2010
2844,The Book of Eli,"$157,107,755","$94,835,059",60.4%,"$62,272,696",39.6%,2010
2845,The Town,"$154,026,136","$92,186,262",59.9%,"$61,839,874",40.1%,2010
2846,Date Night,"$152,263,880","$98,711,404",64.8%,"$53,552,476",35.2%,2010
2847,The Secret World of Arrietty,"$148,800,274","$19,202,743",12.9%,"$129,597,531",87.1%,2010
2848,Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313",39.7%,"$84,398,077",60.3%,2010
2849,The Wolfman,"$139,789,765","$61,979,680",44.3%,"$77,810,085",55.7%,2010
2850,The Bounty Hunter,"$136,333,522","$67,061,228",49.2%,"$69,272,294",50.8%,2010
2851,Saw: The Final Chapter,"$136,150,434","$45,710,178",33.6%,"$90,440,256",66.4%,2010
2852,Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616",38.9%,"$82,273,405",61.1%,2010
2853,The Adjustment Bureau,"$127,869,379","$62,495,645",48.9%,"$65,373,734",51.1%,2010
2854,Predators,"$127,233,108","$52,000,688",40.9%,"$75,232,420",59.1%,2010
2855,A Nightmare on Elm Street,"$115,694,863","$63,075,011",54.5%,"$52,619,852",45.5%,2010
2856,Dear John,"$114,984,666","$80,014,842",69.6%,"$34,969,824",30.4%,2010
2857,Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764","$43,585,753",38.7%,"$68,898,011",61.3%,2010
2858,Tooth Fairy,"$112,462,508","$60,022,256",53.4%,"$52,440,252",46.6%,2010
2859,Sanctum,"$108,609,310","$23,209,310",21.4%,"$85,400,000",78.6%,2010
2860,Harmony,"$107,056,263",-,-,"$107,056,263",100%,2010
2861,Hereafter,"$106,956,330","$32,746,941",30.6%,"$74,209,389",69.4%,2010
2862,Life as We Know It,"$105,734,416","$53,374,681",50.5%,"$52,359,735",49.5%,2010
2863,Let the Bullets Fly,"$104,723,314","$63,012",<0.1%,"$104,660,302",99.9%,2010
2864,Love & Other Drugs,"$102,820,008","$32,367,005",31.5%,"$70,453,003",68.5%,2010
2865,Aftershock,"$100,293,273","$62,962",<0.1%,"$100,230,311",99.9%,2010
2866,Umizaru 3: The Last Message,"$98,663,381",-,-,"$98,663,381",100%,2010
2867,Killers,"$98,159,963","$47,059,963",47.9%,"$51,100,000",52.1%,2010
2868,Kick-Ass,"$96,188,903","$48,071,303",50%,"$48,117,600",50%,2010
2869,Nanny McPhee Returns,"$93,251,121","$29,011,215",31.1%,"$64,239,906",68.9%,2010
2870,Get Him to the Greek,"$91,720,255","$60,974,475",66.5%,"$30,745,780",33.5%,2010
2871,Burlesque,"$89,519,773","$39,440,655",44.1%,"$50,079,118",55.9%,2010
2872,The Last Song,"$89,137,047","$62,950,384",70.6%,"$26,186,663",29.4%,2010
2873,Dinner for Schmucks,"$86,855,739","$73,026,337",84.1%,"$13,829,402",15.9%,2010
2874,Bayside Shakedown 3: Set the Guys Loose,"$85,347,374",-,-,"$85,347,374",100%,2010
2875,Marmaduke,"$83,761,844","$33,644,788",40.2%,"$50,117,056",59.8%,2010
2876,Piranha 3D,"$83,188,165","$25,003,155",30.1%,"$58,185,010",69.9%,2010
2877,Oceans,"$83,090,556","$19,422,319",23.4%,"$63,668,237",76.6%,2010
2878,Blades of Blood 2010 Re-release,"$82,177,196",-,-,"$82,177,196",100%,2010
2879,Edge of Darkness,"$81,126,522","$43,313,890",53.4%,"$37,812,632",46.6%,2010
2880,Vampires Suck,"$80,547,866","$36,661,504",45.5%,"$43,886,362",54.5%,2010
2881,Letters to Juliet,"$79,293,444","$53,032,453",66.9%,"$26,260,991",33.1%,2010
2882,The Back-up Plan,"$77,477,008","$37,490,007",48.4%,"$39,987,001",51.6%,2010
2883,Diary of a Wimpy Kid,"$76,196,538","$64,003,625",84%,"$12,192,913",16%,2010
2884,If You Are the One 2,"$76,085,443","$426,894",0.6%,"$75,658,549",99.4%,2010
2885,Easy A,"$75,026,216","$58,401,464",77.8%,"$16,624,752",22.2%,2010
2886,Hubble 3D,"$74,249,729","$52,522,904",70.7%,"$21,726,825",29.3%,2010
2887,Pokémon: Zoroark: Master of Illusions,"$71,143,529",-,-,"$71,143,529",100%,2010
2888,A Turtle's Tale: Sammy's Adventures,"$70,627,617",-,-,"$70,627,617",100%,2010
2889,The Last Exorcism,"$69,432,527","$41,034,350",59.1%,"$28,398,177",40.9%,2010
2890,Takers,"$69,055,695","$57,744,720",83.6%,"$11,310,975",16.4%,2010
2891,Bestseller,"$68,813,389",-,-,"$68,813,389",100%,2010
2892,Legion,"$67,918,658","$40,168,080",59.1%,"$27,750,578",40.9%,2010
2893,The American,"$67,876,281","$35,606,376",52.5%,"$32,269,905",47.5%,2010
2894,The Next Three Days,"$67,448,651","$21,148,651",31.4%,"$46,300,000",68.6%,2010
2895,Skyline,"$66,984,887","$21,393,620",31.9%,"$45,591,267",68.1%,2010
2896,Hot Tub Time Machine,"$64,735,752","$50,287,556",77.7%,"$14,448,196",22.3%,2010
2897,Elite Squad 2: The Enemy Within,"$63,618,850","$100,119",0.2%,"$63,518,731",99.8%,2010
2898,Devil,"$62,695,489","$33,601,190",53.6%,"$29,094,299",46.4%,2010
2899,127 Hours,"$60,738,797","$18,335,230",30.2%,"$42,403,567",69.8%,2010
2900,Why Did I Get Married Too?,"$60,673,972","$60,095,852",99%,"$578,120",1%,2010
2901,The Ghost Writer,"$60,331,447","$15,541,549",25.8%,"$44,789,898",74.2%,2010
2902,Secretariat,"$60,321,861","$59,713,955",99%,"$607,906",1%,2010
2903,Morning Glory,"$60,040,976","$31,011,732",51.7%,"$29,029,244",48.3%,2010
2904,Green Zone 2010 Re-release,"$59,828,889",-,-,"$59,828,889",100%,2010
2905,Remember Me,"$56,032,889","$19,068,240",34%,"$36,964,649",66%,2010
2906,Cop Out,"$55,611,001","$44,875,481",80.7%,"$10,735,520",19.3%,2010
2907,Veda - Atatürk,"$55,024,621",-,-,"$55,024,621",100%,2010
2908,The Crazies,"$54,806,823","$39,123,589",71.4%,"$15,683,234",28.6%,2010
2909,Little White Lies,"$53,319,615","$206,088",0.4%,"$53,113,527",99.6%,2010
2910,From Paris with Love,"$52,830,951","$24,077,427",45.6%,"$28,753,524",54.4%,2010
2911,Detective Dee: Mystery of the Phantom Flame,"$51,899,269","$459,836",0.9%,"$51,439,433",99.1%,2010
2912,Conference of Animals,"$51,883,642",-,-,"$51,883,642",100%,2010
2913,Daybreakers,"$51,416,464","$30,101,577",58.5%,"$21,314,887",41.5%,2010
2914,Alpha and Omega,"$50,507,267","$25,107,267",49.7%,"$25,400,000",50.3%,2010
2915,The Switch,"$49,830,607","$27,779,426",55.7%,"$22,051,181",44.3%,2010
2916,Space Battleship Yamato,"$49,827,298",-,-,"$49,827,298",100%,2010
2917,She's Out of My League,"$49,779,728","$32,010,860",64.3%,"$17,768,868",35.7%,2010
2918,Death at a Funeral,"$49,050,886","$42,739,347",87.1%,"$6,311,539",12.9%,2010
2919,How Do You Know,"$48,668,907","$30,212,620",62.1%,"$18,456,287",37.9%,2010
2920,Charlie St. Cloud,"$48,190,704","$31,162,545",64.7%,"$17,028,159",35.3%,2010
2921,Heartbreaker,"$48,023,509","$504,030",1%,"$47,519,479",99%,2010
2922,Scott Pilgrim vs. the World,"$47,664,559","$31,524,275",66.1%,"$16,140,284",33.9%,2010
2923,StreetDance 2,"$46,960,833",-,-,"$46,960,833",100%,2010
2924,Welcome to the South,"$45,896,492",-,-,"$45,896,492",100%,2010
2925,Machete,"$45,491,656","$26,593,646",58.5%,"$18,898,010",41.5%,2010
2926,Confessions,"$45,203,103",-,-,"$45,203,103",100%,2010
2927,Avatar 2010 Special Edition,"$44,838,548","$10,741,486",24%,"$34,097,062",76%,2010
2928,The Man from Nowhere,"$44,723,232","$528,175",1.2%,"$44,195,057",98.8%,2010
2929,Of Gods and Men,"$43,803,417","$3,951,596",9%,"$39,851,821",91%,2010
2930,Boy,"$43,551,154","$256,211",0.6%,"$43,294,943",99.4%,2010
2931,When in Rome,"$43,053,376","$32,680,633",75.9%,"$10,372,743",24.1%,2010
2932,My Name Is Khan,"$42,345,360","$4,018,771",9.5%,"$38,326,589",90.5%,2010
2933,Going the Distance,"$42,059,111","$17,804,299",42.3%,"$24,254,812",57.7%,2010
2934,Nodame Cantabile: The Movie II 2010 Re-release,"$41,054,604",-,-,"$41,054,604",100%,2010
2935,SP: The Motion Picture I,"$39,674,739",-,-,"$39,674,739",100%,2010
2936,Kokkuri-san: Gekijô-ban,"$37,982,240",-,-,"$37,982,240",100%,2010
2937,For Colored Girls,"$37,981,984","$37,729,698",99.3%,"$252,286",0.7%,2010
2938,Detective Conan: The Lost Ship in the Sky,"$36,407,407",-,-,"$36,407,407",100%,2010
2939,Secret Reunion,"$36,298,578",-,-,"$36,298,578",100%,2010
2940,Furry Vengeance,"$36,288,132","$17,630,465",48.6%,"$18,657,667",51.4%,2010
2941,You Will Meet a Tall Dark Stranger,"$35,867,322","$3,248,246",9.1%,"$32,619,076",90.9%,2010
2942,Faster,"$35,626,958","$23,240,020",65.2%,"$12,386,938",34.8%,2010
2943,The Kids Are All Right,"$34,705,850","$20,811,365",60%,"$13,894,485",40%,2010
2944,Doraemon The Movie: Nobita's Great Battle of the Mermaid King,"$34,702,573",-,-,"$34,702,573",100%,2010
2945,The Extraordinary Adventures of Adèle Blanc-Sec,"$34,604,339",-,-,"$34,604,339",100%,2010
2946,Camping 2,"$33,857,735",-,-,"$33,857,735",100%,2010
2947,Arthur 3: The War of the Two Worlds,"$33,519,334",-,-,"$33,519,334",100%,2010
2948,Dogwood Tree,"$33,016,351",-,-,"$33,016,351",100%,2010
2949,Leap Year,"$32,686,500","$25,918,920",79.3%,"$6,767,580",20.7%,2010
2950,Potiche,"$32,309,881","$1,618,844",5%,"$30,691,037",95%,2010
2951,You Again,"$32,054,369","$25,702,053",80.2%,"$6,352,316",19.8%,2010
2952,Rajneeti,"$29,459,596","$1,514,558",5.1%,"$27,945,038",94.9%,2010
2953,The Losers,"$29,397,654","$23,591,432",80.2%,"$5,806,222",19.8%,2010
2954,The Santa Claus Gang,"$29,181,330",-,-,"$29,181,330",100%,2010
2955,Sacrifice,"$29,093,560","$29,792",0.1%,"$29,063,768",99.9%,2010
2956,The Lady Shogun and Her Men,"$27,769,952",-,-,"$27,769,952",100%,2010
2957,Legend of the Fist: The Return of Chen Zhen,"$27,390,678","$50,433",0.2%,"$27,340,245",99.8%,2010
2958,Ramona and Beezus,"$27,293,743","$26,167,002",95.9%,"$1,126,741",4.1%,2010
2959,Splice 2010 Re-release,"$27,127,620","$17,010,170",62.7%,"$10,117,450",37.3%,2010
2960,Let Me In,"$27,093,592","$12,134,935",44.8%,"$14,958,657",55.2%,2010
2961,Fair Game,"$25,798,915","$9,540,691",37%,"$16,258,224",63%,2010
2962,The Roundup,"$25,623,521",-,-,"$25,623,521",100%,2010
2963,Natale in Sudafrica,"$25,362,517",-,-,"$25,362,517",100%,2010
2964,Biutiful,"$25,147,786","$5,101,237",20.3%,"$20,046,549",79.7%,2010
2965,Six Degrees of Celebration,"$25,030,264",-,-,"$25,030,264",100%,2010
2966,Elle s'appelait Sarah,"$24,792,815","$7,693,187",31%,"$17,099,628",69%,2010
2967,Lottery Ticket,"$24,719,879","$24,719,879",100%,-,-,2010
2968,Liar Game: The Final Stage,"$24,658,706",-,-,"$24,658,706",100%,2010
2969,The Way Back,"$24,172,201","$2,701,859",11.2%,"$21,470,342",88.8%,2010
2970,Nasha Russia. Yaytsa sudby,"$24,022,125",-,-,"$24,022,125",100%,2010
2971,Da Xiao Jiang Hu,"$23,705,022",-,-,"$23,705,022",100%,2010
2972,Five Minarets in New York,"$23,423,390",-,-,"$23,423,390",100%,2010
2973,Under the Hawthorn Tree,"$23,004,431",-,-,"$23,004,431",100%,2010
2974,Recep Ivedik 3,"$22,588,876",-,-,"$22,588,876",100%,2010
2975,Villain,"$22,414,467",-,-,"$22,414,467",100%,2010
2976,A Thousand Words,"$22,044,277","$18,450,127",83.7%,"$3,594,150",16.3%,2010
2977,"Me, Them and Lara","$22,039,646",-,-,"$22,039,646",100%,2010
2978,Moss,"$21,925,534",-,-,"$21,925,534",100%,2010
2979,22 Bullets,"$21,695,883",-,-,"$21,695,883",100%,2010
2980,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,"$21,645,379",-,-,"$21,645,379",100%,2010
2981,Just Wright,"$21,584,424","$21,540,363",99.8%,"$44,061",0.2%,2010
2982,My Soul to Take,"$21,500,813","$14,744,435",68.6%,"$6,756,378",31.4%,2010
2983,Our Family Wedding,"$21,409,028","$20,255,281",94.6%,"$1,153,747",5.4%,2010
2984,Nosso Lar,"$21,218,935",-,-,"$21,218,935",100%,2010
2985,71: Into the Fire,"$20,967,660","$176,638",0.8%,"$20,791,022",99.2%,2010
2986,The Spy Next Door 2010 Re-release,"$20,929,457",-,-,"$20,929,457",100%,2010
2987,Country Strong,"$20,529,194","$20,218,921",98.5%,"$310,273",1.5%,2010
2988,Beck,"$20,219,060",-,-,"$20,219,060",100%,2010
2989,How Not to Rescue a Princess,"$20,157,447",-,-,"$20,157,447",100%,2010
2990,About Her Brother,"$19,969,473",-,-,"$19,969,473",100%,2010
2991,Trick the Movie: Psychic Battle Royale,"$19,795,115",-,-,"$19,795,115",100%,2010
2992,Hello Ghost,"$19,774,455",-,-,"$19,774,455",100%,2010
2993,Another Year,"$19,722,766","$3,205,706",16.3%,"$16,517,060",83.7%,2010
2994,Youth in Revolt,"$19,651,093","$15,281,286",77.8%,"$4,369,807",22.2%,2010
2995,Hot Summer Days,"$19,573,451",-,-,"$19,573,451",100%,2010
2996,Buried,"$19,439,764","$1,044,143",5.4%,"$18,395,621",94.6%,2010
2997,The Servant,"$19,259,164",-,-,"$19,259,164",100%,2010
2998,Norwegian Wood,"$19,115,721","$13,000",<0.1%,"$19,102,721",99.9%,2010
2999,Head Over Heels,"$18,876,082",-,-,"$18,876,082",100%,2010
3000,Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",28.4%,"$960,500,000",71.6%,2011
3001,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011
3002,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23.1%,"$804,642,000",76.9%,2011
3003,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.5%,"$430,918,723",60.5%,2011
3004,Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.1%,"$485,315,477",69.9%,2011
3005,Kung Fu Panda 2,"$665,692,281","$165,249,063",24.8%,"$500,443,218",75.2%,2011
3006,Fast Five,"$626,137,675","$209,837,675",33.5%,"$416,300,000",66.5%,2011
3007,The Hangover Part II,"$586,764,305","$254,464,305",43.4%,"$332,300,000",56.6%,2011
3008,The Smurfs,"$563,749,323","$142,614,158",25.3%,"$421,135,165",74.7%,2011
3009,Cars 2,"$559,852,396","$191,452,396",34.2%,"$368,400,000",65.8%,2011
3010,Puss in Boots,"$554,987,477","$149,260,504",26.9%,"$405,726,973",73.1%,2011
3011,Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.4%,"$357,000,000",65.6%,2011
3012,Rio,"$483,866,518","$143,619,809",29.7%,"$340,246,709",70.3%,2011
3013,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011
3014,Thor,"$449,326,618","$181,030,624",40.3%,"$268,295,994",59.7%,2011
3015,The Intouchables,"$426,588,510","$10,198,820",2.4%,"$416,389,690",97.6%,2011
3016,The Adventures of Tintin,"$373,993,951","$77,591,831",20.7%,"$296,402,120",79.3%,2011
3017,Captain America: The First Avenger,"$370,569,774","$176,654,505",47.7%,"$193,915,269",52.3%,2011
3018,X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011
3019,Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.8%,"$209,584,693",61.2%,2011
3020,Real Steel,"$299,268,508","$85,468,508",28.6%,"$213,800,000",71.4%,2011
3021,Bridesmaids,"$288,383,523","$169,106,725",58.6%,"$119,276,798",41.4%,2011
3022,Super 8,"$260,095,986","$127,004,179",48.8%,"$133,091,807",51.2%,2011
3023,Rango,"$245,724,603","$123,477,607",50.3%,"$122,246,996",49.7%,2011
3024,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011
3025,The Green Hornet,"$227,817,248","$98,780,042",43.4%,"$129,037,206",56.6%,2011
3026,Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2%,2011
3027,Green Lantern,"$219,851,172","$116,601,172",53%,"$103,250,000",47%,2011
3028,The Help,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%,2011
3029,Bad Teacher,"$216,197,492","$100,292,856",46.4%,"$115,904,636",53.6%,2011
3030,Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011
3031,Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011
3032,Horrible Bosses,"$209,838,559","$117,538,559",56%,"$92,300,000",44%,2011
3033,Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011
3034,Gnomeo & Juliet,"$193,967,670","$99,967,670",51.5%,"$94,000,000",48.5%,2011
3035,Mr. Popper's Penguins,"$187,361,754","$68,224,452",36.4%,"$119,137,302",63.6%,2011
3036,Hugo,"$185,770,160","$73,864,507",39.8%,"$111,905,653",60.2%,2011
3037,The Lion King 2011 3D Release,"$185,542,001","$94,242,001",50.8%,"$91,300,000",49.2%,2011
3038,Hop,"$183,953,723","$108,085,305",58.8%,"$75,868,418",41.2%,2011
3039,War Horse,"$177,584,879","$79,884,879",45%,"$97,700,000",55%,2011
3040,The Descendants,"$177,243,185","$82,584,160",46.6%,"$94,659,025",53.4%,2011
3041,Cowboys & Aliens,"$174,822,325","$100,240,551",57.3%,"$74,581,774",42.7%,2011
3042,In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011
3043,Zookeeper,"$169,852,759","$80,360,843",47.3%,"$89,491,916",52.7%,2011
3044,The Muppets,"$165,184,237","$88,631,237",53.7%,"$76,553,000",46.3%,2011
3045,Limitless,"$161,849,455","$79,249,455",49%,"$82,600,000",51%,2011
3046,Johnny English Reborn,"$160,078,586","$8,305,970",5.2%,"$151,772,616",94.8%,2011
3047,Happy Feet Two,"$159,196,259","$64,006,466",40.2%,"$95,189,793",59.8%,2011
3048,Final Destination 5,"$157,887,643","$42,587,643",27%,"$115,300,000",73%,2011
3049,Tower Heist,"$152,930,623","$78,046,570",51%,"$74,884,053",49%,2011
3050,Midnight in Paris,"$151,672,017","$56,817,045",37.5%,"$94,854,972",62.5%,2011
3051,I Am Number Four,"$149,878,437","$55,100,437",36.8%,"$94,778,000",63.2%,2011
3052,Jack and Jill,"$149,673,788","$74,158,157",49.5%,"$75,515,631",50.5%,2011
3053,Friends with Benefits,"$149,542,245","$55,802,754",37.3%,"$93,739,491",62.7%,2011
3054,No Strings Attached,"$149,228,077","$70,662,220",47.4%,"$78,565,857",52.6%,2011
3055,Arthur Christmas,"$147,419,472","$46,462,469",31.5%,"$100,957,003",68.5%,2011
3056,Source Code,"$147,332,697","$54,712,227",37.1%,"$92,620,470",62.9%,2011
3057,"Crazy, Stupid, Love.","$145,051,197","$84,351,197",58.2%,"$60,700,000",41.8%,2011
3058,New Year's Eve,"$142,044,638","$54,544,638",38.4%,"$87,500,000",61.6%,2011
3059,Contagion,"$136,515,867","$75,658,097",55.4%,"$60,857,770",44.6%,2011
3060,Unknown,"$135,710,029","$63,686,397",46.9%,"$72,023,632",53.1%,2011
3061,The Artist,"$133,432,856","$44,671,682",33.5%,"$88,761,174",66.5%,2011
3062,The Three Musketeers,"$132,274,484","$20,374,484",15.4%,"$111,900,000",84.6%,2011
3063,We Bought a Zoo,"$120,081,841","$75,624,550",63%,"$44,457,291",37%,2011
3064,Hankyu Railways - A 15-minute Miracle,"$118,799,256",-,-,"$118,799,256",100%,2011
