Rank,Release Group,Worldwide,Domestic,%,Foreign,%
169,Minamata,"$410,612",-,-,"$410,612",100%
170,My Salinger Year,"$405,157","$54,730",13.5%,"$350,427",86.5%
171,The Seventh Day,"$377,749",-,-,"$377,749",100%
172,The United States vs. Billie Holiday,"$363,601",-,-,"$363,601",100%
173,Russian Yug,"$348,435",-,-,"$348,435",100%
174,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
175,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
176,Every Breath You Take,"$326,523",-,-,"$326,523",100%
177,Rising Wolf,"$323,756",-,-,"$323,756",100%
178,Dutch,"$323,167","$323,167",100%,-,-
179,Radhe,"$320,871",-,-,"$320,871",100%
180,The Water Man,"$313,258","$313,258",100%,-,-
181,Abominable 2021 Re-release,"$307,818","$110,000",35.7%,"$197,818",64.3%
182,Birth Time: The Documentary,"$306,281",-,-,"$306,281",100%
183,Kabadadaari,"$302,563",-,-,"$302,563",100%
184,Cosmic Sin,"$300,955",-,-,"$300,955",100%
185,Dawn Raid,"$295,955",-,-,"$295,955",100%
186,Locked Down,"$290,714",-,-,"$290,714",100%
187,The Funeral Home,"$289,879",-,-,"$289,879",100%
188,Ginger's Tale,"$284,298",-,-,"$284,298",100%
189,Don't Heal Me,"$282,513",-,-,"$282,513",100%
190,American Skin,"$282,332","$282,332",100%,-,-
191,Young Adult Matters,"$279,643",-,-,"$279,643",100%
192,The Only Way Out,"$270,181",-,-,"$270,181",100%
193,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
194,Demon Hunter,"$258,608",-,-,"$258,608",100%
195,Harry Potter and the Goblet of Fire 2021 Re-release,"$257,479",-,-,"$257,479",100%
196,In the Mood for Love 2021 Re-release,"$244,904",-,-,"$244,904",100%
197,Vellam,"$233,364",-,-,"$233,364",100%
198,Sultan,"$232,111",-,-,"$232,111",100%
199,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
200,Limbo,"$224,405","$224,405",100%,-,-
